"Units","scenario","year","market","value"
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"VAairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"VTCO2 removal",0.00130759
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"VTairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"WACO2 removal",0.00219762
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"WAairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"WICO2 removal",0.0018424
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"WIairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"WVCO2 removal",0.00186979
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"WVairCO2",-0.145089
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"WYCO2 removal",0.00232333
"1975$/kg","crt2030_80p_nl_202502_onshoring",2045,"WYairCO2",-0.145089
